省份,累计确诊,死亡,治愈,现有确诊,累计确诊增量,死亡增量,治愈增量,现有确诊增量
西藏,1460,0,1434,26,0,0,11,-11
澳门,795,6,787,2,0,0,0,0
青海,284,0,255,29,3,0,0,3
台湾,7887538,13198,13742,7860598,24345,28,0,24317
香港,438627,10470,92863,335294,582,6,234,342
贵州,955,2,946,7,0,0,6,-6
吉林,40331,5,40322,4,0,0,0,0
新疆,1963,3,1674,286,30,0,1,29
宁夏,225,0,219,6,2,0,0,2
内蒙古,5183,1,4340,842,59,0,36,23
甘肃,1381,2,1361,18,2,0,0,2
天津,2494,3,2435,56,2,0,0,2
山西,1538,0,895,643,22,0,0,22
辽宁,2047,2,2011,34,1,0,3,-2
黑龙江,3556,13,3464,79,9,0,3,6
海南,8979,6,8971,2,0,0,4,-4
河北,2037,7,2027,3,1,0,0,1
陕西,4179,3,4016,160,8,0,4,4
云南,2725,2,2573,150,11,0,0,11
广西,2348,2,2346,0,0,0,2,-2
福建,5306,1,4794,511,11,0,10,1
上海,64315,595,63675,45,2,0,9,-7
北京,4995,9,4608,378,44,0,7,21
江苏,2766,0,2627,139,3,0,6,-3
四川,6392,3,6195,194,22,0,44,-22
山东,3229,7,3161,61,6,0,6,0
江西,1497,1,1494,2,1,0,0,1
重庆,1551,6,1278,267,42,0,3,39
安徽,1539,6,1526,7,0,0,0,0
湖南,1779,4,1546,229,10,0,2,8
河南,3725,22,3389,314,42,0,0,42
广东,13326,8,11390,1928,234,0,9,225
浙江,3577,1,3514,62,1,0,0,1
湖北,68442,4512,63927,3,1,0,1,0
