"序列","时间","省份名称","现存确诊","累计确诊","治愈人数","死亡人数"
0,"2022-05-29",台湾,1800050,1815703,13742,1911
0,"2022-05-30",台湾,1876474,1892272,13742,2056
0,"2022-05-31",台湾,1936448,1952355,13742,2165
0,"2022-06-01",台湾,2016986,2032983,13742,2255
0,"2022-06-02",台湾,2105112,2121231,13742,2377
0,"2022-09-09",台湾,5556115,5580027,13742,10170
0,"2022-09-10",台湾,5590260,5614227,13742,10225
0,"2022-09-19",台湾,5946148,5970438,13742,10548
0,"2022-09-23",台湾,6148284,6172769,13742,10743
0,"2022-09-24",台湾,6148284,6172769,13742,10743
0,"2022-09-26",台湾,6254168,6278794,13742,10884
0,"2022-10-04",台湾,6605668,6630642,13742,11232
0,"2022-10-13",台湾,7025322,7050750,13742,11686
0,"2022-10-14",台湾,7073462,7098970,13742,11766
0,"2022-11-08",台湾,7902063,7929052,13742,13247
1,"2022-05-29",香港,260712,332251,62163,9376
1,"2022-05-30",香港,260738,332288,62174,9376
1,"2022-05-31",香港,260757,332335,62200,9378
1,"2022-06-01",香港,260765,332398,62255,9378
1,"2022-06-02",香港,260765,332398,62255,9378
1,"2022-09-09",香港,309354,396687,77564,9769
1,"2022-09-10",香港,310212,397913,77921,9780
1,"2022-09-19",香港,316022,406835,80922,9891
1,"2022-09-23",香港,317291,409495,82270,9934
1,"2022-09-24",香港,318374,411056,82583,10099
1,"2022-09-26",香港,318500,412147,83531,10116
1,"2022-10-04",香港,320420,416053,85457,10176
1,"2022-10-13",香港,324074,421666,87346,10246
1,"2022-10-14",香港,324503,422332,87575,10254
1,"2022-11-08",香港,335798,439251,92978,10475
2,"2022-05-29",上海,1024,62984,61365,595
2,"2022-05-30",上海,908,62990,61487,595
2,"2022-05-31",上海,732,63003,61676,595
2,"2022-06-01",上海,637,63009,61777,595
2,"2022-06-02",上海,637,63009,61777,595
2,"2022-09-09",海南,2142,8942,6794,6
2,"2022-09-10",海南,2142,8942,6794,6
2,"2022-09-19",四川,1239,5234,3992,3
2,"2022-09-23",四川,989,5391,4399,3
2,"2022-09-24",四川,978,5443,4462,3
2,"2022-09-26",四川,881,5527,4643,3
2,"2022-10-04",四川,724,5761,5034,3
2,"2022-10-13",内蒙古,1011,4002,2990,1
2,"2022-10-14",内蒙古,990,4058,3067,1
2,"2022-11-08",广东,2179,13657,11470,8
3,"2022-05-29",北京,535,3344,2800,9
3,"2022-05-30",北京,493,3352,2850,9
3,"2022-05-31",北京,472,3368,2887,9
3,"2022-06-01",北京,446,3382,2927,9
3,"2022-06-02",北京,446,3382,2927,9
3,"2022-09-09",四川,1352,4455,3100,3
3,"2022-09-10",四川,1311,4544,3230,3
3,"2022-09-19",海南,521,8952,8425,6
3,"2022-09-23",海南,351,8954,8597,6
3,"2022-09-24",海南,342,8955,8607,6
3,"2022-09-26",贵州,513,764,249,2
3,"2022-10-04",贵州,420,927,505,2
3,"2022-10-13",广东,592,10691,10091,8
3,"2022-10-14",广东,624,10759,10127,8
3,"2022-11-08",内蒙古,940,5342,4401,1
4,"2022-05-29",四川,225,2329,2101,3
4,"2022-05-30",四川,215,2330,2112,3
4,"2022-05-31",四川,207,2332,2122,3
4,"2022-06-01",四川,189,2334,2142,3
4,"2022-06-02",四川,189,2334,2142,3
4,"2022-09-09",广东,696,9559,8855,8
4,"2022-09-10",广东,712,9608,8888,8
4,"2022-09-19",广东,395,9783,9380,8
4,"2022-09-23",贵州,272,492,218,2
4,"2022-09-24",贵州,301,524,221,2
4,"2022-09-26",海南,311,8955,8638,6
4,"2022-10-04",广东,328,10177,9841,8
4,"2022-10-13",四川,525,6048,5520,3
4,"2022-10-14",四川,496,6062,5563,3
4,"2022-11-08",山西,667,1571,904,0
5,"2022-05-29",天津,123,1969,1843,3
5,"2022-05-30",天津,122,1975,1850,3
5,"2022-05-31",天津,114,1975,1858,3
5,"2022-06-01",天津,84,1975,1888,3
5,"2022-06-02",天津,84,1975,1888,3
5,"2022-09-09",西藏,654,1159,505,0
5,"2022-09-10",西藏,654,1159,505,0
5,"2022-09-19",内蒙古,252,2748,2495,1
5,"2022-09-23",广东,248,9843,9587,8
5,"2022-09-24",内蒙古,242,2759,2516,1
5,"2022-09-26",广东,214,9907,9685,8
5,"2022-10-04",内蒙古,299,3057,2757,1
5,"2022-10-13",新疆,334,1507,1170,3
5,"2022-10-14",新疆,359,1535,1173,3
5,"2022-11-08",福建,496,5321,4824,1
6,"2022-05-29",河南,105,3180,3053,22
6,"2022-05-30",河南,98,3180,3060,22
6,"2022-05-31",福建,96,3255,3158,1
6,"2022-06-01",福建,83,3262,3178,1
6,"2022-06-02",福建,83,3262,3178,1
6,"2022-09-09",内蒙古,259,2637,2377,1
6,"2022-09-10",内蒙古,291,2670,2378,1
6,"2022-09-19",西藏,221,1266,1045,0
6,"2022-09-23",内蒙古,241,2755,2513,1
6,"2022-09-24",广东,236,9863,9619,8
6,"2022-09-26",内蒙古,176,2766,2589,1
6,"2022-10-04",海南,228,8955,8721,6
6,"2022-10-13",山西,232,714,482,0
6,"2022-10-14",山西,239,725,486,0
6,"2022-11-08",北京,401,5031,4621,9
7,"2022-05-29",福建,102,3247,3144,1
7,"2022-05-30",福建,96,3251,3154,1
7,"2022-05-31",河南,83,3180,3075,22
7,"2022-06-01",河南,74,3182,3086,22
7,"2022-06-02",河南,74,3182,3086,22
7,"2022-09-09",黑龙江,141,3220,3066,13
7,"2022-09-10",黑龙江,132,3222,3077,13
7,"2022-09-19",福建,127,4262,4134,1
7,"2022-09-23",西藏,185,1317,1132,0
7,"2022-09-24",西藏,190,1328,1138,0
7,"2022-09-26",西藏,168,1345,1177,0
7,"2022-10-04",福建,132,4412,4279,1
7,"2022-10-13",云南,204,2585,2379,2
7,"2022-10-14",云南,208,2593,2383,2
7,"2022-11-08",河南,400,3811,3389,22
8,"2022-05-29",吉林,66,40292,40221,5
8,"2022-05-30",吉林,66,40292,40221,5
8,"2022-05-31",吉林,59,40293,40229,5
8,"2022-06-01",吉林,47,40293,40241,5
8,"2022-06-02",吉林,47,40293,40241,5
8,"2022-09-09",福建,127,4161,4033,1
8,"2022-09-10",福建,125,4168,4042,1
8,"2022-09-19",北京,123,4160,4028,9
8,"2022-09-23",福建,112,4291,4178,1
8,"2022-09-24",福建,109,4296,4186,1
8,"2022-09-26",上海,115,64096,63386,595
8,"2022-10-04",天津,132,2384,2249,3
8,"2022-10-13",贵州,177,938,759,2
8,"2022-10-14",福建,183,4574,4390,1
8,"2022-11-08",重庆,351,1640,1283,6
9,"2022-05-29",广东,47,7292,7237,8
9,"2022-05-30",广东,46,7296,7242,8
9,"2022-05-31",广东,45,7300,7247,8
9,"2022-06-01",广东,36,7303,7259,8
9,"2022-06-02",广东,36,7303,7259,8
